brands,product_name,categories,countries,food_groups_tags,food_groups,ingredients_text,category_name,country
Terra Delyssa,Huile d'olive vierge extra (Biologique),"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Produits de l'olivier, Huiles, Huiles d'olive, Huiles d'olive vierges extra, Huiles d'olive de Tunisie, Huiles d'olive vierges","Canada,France","['en:fats-and-sauces', 'en:fats']",en:fats,Huile d'olive vierge Extra Biologique première pression à froid,Plant-based foods and beverages,canada
Clément Faugier,Crème de Marrons de L'Ardèche,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Produits à tartiner, Fruits à coques et dérivés, Pâtes à tartiner végétales, Fruits à coques, Châtaignes, Crèmes de marrons, Châtaigne d'Ardèche","Canada,France","['en:salty-snacks', 'en:nuts']",en:nuts,"Châtaignes (50%), sucre, marrons glacés, sirop de glucose, eau, extrait de vanille Madagascar",Plant-based foods and beverages,canada
Fleurs des Champs,Maïs,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Céréales et pommes de terre, Graines, Légumes et dérivés, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes en conserve, Céréales en grains, Pâtes alimentaires, Maïs, Céréales en conserve, Maïs en conserve, Maïs doux en conserve, Maïs en grain, en:groceries","Canada,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"maïs, eau, sel",Plant-based foods and beverages,canada
Lustucru,,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Rices, Long grain rices, Parboiled rices","Kanada, Frankreich, Germany","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Parboiled long grain rice,Plant-based foods and beverages,canada
"Refresh,UFC",Coconut Water,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Non-alcoholic beverages,Coconut waters","Canada,France,Germany,New Zealand,Singapore,United Kingdom","['en:beverages', 'en:unsweetened-beverages']",en:unsweetened-beverages,100% natural coconut water.,Plant-based foods and beverages,canada
Nature's Path Organic - Kirkland,Ancient Grains Probiotic Granola,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Canada,United States","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Whole grain rolled oats*, cane sugar*, soy oil*, khorasan wheat, rolled spelt*, almonds, inulin* rice starch*, rolled quinoa*, rolled amaranth*, sea salt, molasses*, cinnamon*, vanilla flavor*, Probiotics (Bacillus coagulans GBI-30 6086), tocopherols (vitamin E). *ORGANIC Contains soy, almonds and wheat Produced in a facility that uses peanuts and other tree nuts.",Plant-based foods and beverages,canada
Quaker Oats,Quick 1-minute Oats imp,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats","Canada,France,United States, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"whole grain rolled oats,",Plant-based foods and beverages,canada
Earth's Own,Oat Original,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks","Canada,United States, World","['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Oat base (filtered water, oats), Sunflower oil, Sea salt, Gellan gum, Locust bean gum, Amylase, Vitamins and minerals (tricalcium phosphate, calcium carbonate, vitamin A palmitate, vitamin D2, riboflavin, vitamin B12, zinc gluconate)",Plant-based foods and beverages,canada
"Post, Shredded Wheat",Spoon Size Shredded Wheat & Bran - Canada,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","Canada, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Whole grain wheat, Wheat bran, BHT",Plant-based foods and beverages,canada
"Aldi,Roland Mills Ost",Farine de Blé type 45,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Farines de blé,Farines de blé type T45","Canada,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Farine de blé.,Plant-based foods and beverages,canada
